"","x"
"294",-0.136056310420683
"295",-0.194651010667476
"296",-0.209429866409274
"297",-0.218415275799497
"298",-0.253182154924291
"299",-0.250081243913575
"300",-0.273603640503463
"301",-0.212210525168747
"302",-0.2155241292088
"303",-0.198373924554368
"304",-0.170089265799072
"305",-0.192843478754368
"306",-0.191828500672427
"307",-0.197018930264222
"308",-0.225961807511407
"309",-0.260189832361163
"310",-0.327994737187705
"311",-0.29687051864277
"312",-0.0635689153895361
"313",-0.0179548184924983
"314",-0.0291987411829092
"315",-0.0291987411829092
"316",-0.0596157919704117
"317",0.0117812098234751
"318",0.0117812098234751
"319",0.00431193823403941
"320",0.0250744592815627
"321",0.040131833247279
"322",0.0515448255782713
"323",0.0402059007539718
"324",0.041864403564346
"325",0.0414303127991212
"326",0.0904489930520209
"327",0.0904489930520209
"328",0.078365804748405
"329",0.110738351907529
"330",0.117707205697347
"331",0.136678256907885
"332",0.0819066463383517
"333",0.115584760213875
"334",0.0990666753972274
"335",0.0904861700158626
"336",0.107167335868463
"337",0.0786121239100545
"338",0.0917281634260409
"339",0.106322474568016
"340",0.10020002562411
"341",0.112385198703897
"342",0.103126578668854
"343",0.0978113388509126
"344",0.0857083480156375
"345",0.109779296115645
"346",0.105919770962178
"347",0.0926353774866095
"348",0.0751721792367089
"349",0.0740751751214885
"350",0.0797246946568362
"351",-0.633247872143743
"352",-0.633247872143743
"353",-0.633247872143743
"354",-0.633247872143743
"355",-0.616883853775627
"356",-0.6259800276004
"357",-0.6259800276004
"358",-0.6259800276004
"359",-0.616883853775627
"360",-0.460490312583003
"361",-0.346151057030243
"362",0.702220791922459
"363",0.991315547654691
"364",0.828573070020993
"365",0.86906174578247
"366",1.1719359571543
"367",0.97782401333492
"368",1.10612756679912
"369",1.13296964179301
"370",1.17910768515255
"371",1.28524682115069
"372",1.48970192896198
"373",1.50184848092301
"374",1.31446407771744
"375",1.43475490800657
"376",1.68460426172112
"377",1.53326841561483
"378",1.603075166192
"379",1.77907629532443
"380",1.77907629532443
"381",1.7667736776189
"382",1.70652316137837
"383",1.63038023053834
"384",1.62725320567241
"385",1.64867928115029
"386",1.24592453594281
"387",1.18640541970011
"388",1.23055508100491
"389",1.2875448944749
"390",1.33805385844315
"391",1.19998886151711
"392",1.16768462686543
"393",1.20310125359347
"394",1.16476145130935
"395",1.04738597060652
"396",1.18281933448526
"397",1.23583558289928
"398",1.26501368392881
"399",1.28709948195053
"400",1.2169221232584
"401",-0.581453711730469
"402",-0.581453711730469
"403",-0.313059440144049
"404",0.0438987197498949
"405",0.0701960260724021
"406",0.0783023458016583
"407",0.0711623606293724
"408",0.0861893928136623
"409",0.174252991822503
"410",0.152269697011333
"411",0.0862710944954165
"412",0.311080039222852
"413",0.15028257273526
"414",0.302509321073795
"415",0.14956503044232
"416",0.486078082202659
"417",0.398415622381617
"418",0.403319995313247
"419",0.449676838651458
"420",0.36808238857773
"421",0.394144846239473
"422",0.322921745619827
"423",0.418351318190142
"424",0.628934255202909
"425",0.724204205950685
"426",0.663265617888151
"427",0.663527168154278
"428",0.765675178122794
"429",0.653721454061471
"430",0.757615859315674
"431",0.775188168604308
"432",0.76772889614263
"433",0.803701612831903
"434",0.891378438510719
"435",0.877999837998065
"436",0.926751674091463
"437",0.91814853314666
"438",0.758426129633468
"439",0.707602017002826
"440",0.800446849853182
"441",0.988118260804534
"442",0.960799150755231
"443",-1.12615853166956
"444",-1.12615853166956
"445",-1.12615853166956
"446",-1.12615853166956
"447",-1.12615853166956
"448",-1.12615853166956
"449",-1.12615853166956
